.model,serie,.type,ME,RMSE,MAE,MPE,MAPE,MASE,ACF1
NNETAR,"Electrodomésticos, muebles para el hogar",Test,3.6240552942892217,5.517544272110135,4.327707265378957,3.1239020191587215,3.8325011000654143,0.5909043555411605,-0.09273839696179687
NNETAR,Equipos de informática para uso personal,Test,8.049378348509627,16.78192355059102,12.788228735647964,3.6918010417645593,6.6685243370738805,1.1483449079115848,-0.05175411315692894
NNETAR,Papelería e útiles escolares,Test,-4.406946118732818,8.796763433948493,6.277248959713576,-4.997693287964955,6.68037387767806,1.0638328138687128,0.1153514574943786
NNETAR,Prendas de vestir y textiles,Test,3.6988256108130053,4.895439442469985,3.763135114341839,2.8044138775574807,2.870055598101028,0.7473662207827031,-0.05723235769197181
NNETAR,Productos farmacéuticos y medicinales,Test,-1.5043903358066244,3.0350279533717117,2.459105895888586,-1.4654589318230957,2.3093479858038215,0.6063635947395715,-0.08858541328393488
NNETAR,Productos para el aseo del hogar,Test,9.38767125712565,10.168350978519173,9.38767125712565,6.362610972972356,6.362610972972356,1.6510015989207902,-0.10148465567361249
NNETAR,Repuestos y lubricantes para vehículo,Test,-4.7147614758780225,6.313591986273919,4.897196887880378,-4.457116890820585,4.617003562790698,0.7050372301946568,0.07891094961442904
NNETAR,Vehículos automotores y motocicletas,Test,4.793753762107118,16.5559242594728,10.723074756519285,2.61508689419389,8.920772802216472,0.8375688255934713,0.30945669262688613
Suavizamientos exponenciales,Alimentos y bebidas no alcohólicas,Test,1.0509443896547224,3.03191005137947,2.218195505062518,0.7223903550795162,1.6487175766214692,0.5711689577179088,0.10216331674959003
Suavizamientos exponenciales,Bebidas alcohólicas y productos del tabaco,Test,18.12041985931087,22.100553370317023,18.12041985931087,11.681931623188794,11.681931623188794,2.7101408645890364,0.08884133014776488
Suavizamientos exponenciales,"Electrodomésticos, muebles para el hogar",Test,0.2099645573342927,4.533555042983611,3.870408120115309,0.150640298662273,3.5078880540082547,0.5284648141971187,-0.12838004746084508
Suavizamientos exponenciales,Equipos de informática para uso personal,Test,-6.25765045362598,11.499333284025822,9.367300370831172,-3.723750447754369,5.358209483402628,0.8411557146875851,-0.0675442293870127
Suavizamientos exponenciales,Papelería e útiles escolares,Test,-15.353053201304562,18.346871312375548,15.353053201304562,-14.652433523158503,14.652433523158503,2.6019490215288736,0.08339139037697287
Suavizamientos exponenciales,Prendas de vestir y textiles,Test,-0.43243953415920966,2.4890859068887887,1.8626986824002434,-0.6091344663058517,1.5603304046895967,0.36993571381926527,-0.16766465068930575
Suavizamientos exponenciales,Productos farmacéuticos y medicinales,Test,-1.637198344675969,2.1677134791231385,1.7139655638480513,-1.5186941272710364,1.5874010671663348,0.4226277210315905,0.4236820364977352
Suavizamientos exponenciales,Productos para el aseo del hogar,Test,1.7093728944879274,4.450928555671503,3.6523323433400208,1.0702650554770852,2.4761319909498587,0.6423325203327134,-0.25496482494963885
Suavizamientos exponenciales,Repuestos y lubricantes para vehículo,Test,-3.41972638895298,4.657727627547104,3.958455385309717,-3.233774293631135,3.7071332780817685,0.5698889557850378,-0.17445886083809112
Suavizamientos exponenciales,Vehículos automotores y motocicletas,Test,3.2992910153900628,11.000932895546395,7.030484018830029,1.927201692492445,5.736335210483356,0.5491441938726678,0.4178171606917396
